fnum;f_id;aj;bnr;ba;koorx;koory;ahc;dec;d1;d2;dh2;htot;kag;ic1;ic2;ic3;ic4;ic5;ic6;bem;cond;fid_bid;fid_bid_aj;ahc_dec
CHOR11;11;2012;669;101;73.2;98.3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_669;11_669;11_669_2012;44
CHOR11;11;2006;670;121;72.7;96;1;1;489;456;NA;NA;NA;1;1;1;4;4;6;F1;11_669;11_670;11_670_2006;11
CHOR11;11;2012;670;121;72.7;96;1;1;520;470;NA;NA;NA;1;1;2;4;4;6;;11_670;11_670;11_670_2012;11
CHOR11;11;2006;671;101;74.2;94;1;1;470;446;NA;NA;NA;1;1;1;4;4;6;F1;11_670;11_671;11_671_2006;11
CHOR11;11;2012;671;101;74.2;94;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_671;11_671;11_671_2012;44
CHOR11;11;2006;672;101;79.6;100;1;1;378;356;NA;NA;NA;1;1;1;4;4;6;F1;11_671;11_672;11_672_2006;11
CHOR11;11;2012;672;101;79.6;100;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_672;11_672;11_672_2012;44
CHOR11;11;2006;673;101;76.8;91.3;1;1;420;390;NA;NA;NA;1;1;1;4;4;6;F1;11_672;11_673;11_673_2006;11
CHOR11;11;2012;673;101;76.8;91.3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_673;11_673;11_673_2012;44
CHOR11;11;2006;674;121;76.6;99.3;3;7;710;590;NA;NA;NA;NA;NA;NA;NA;NA;NA;P4;11_673;11_674;11_674_2006;37
CHOR11;11;2012;674;121;76.6;99.3;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_674;11_674;11_674_2012;99
CHOR11;11;2006;675;411;80.1;98.9;1;1;93;93;NA;NA;NA;3;3;3;5;4;6;F2;11_674;11_675;11_675_2006;11
CHOR11;11;2012;675;411;80.1;98.9;1;1;113;114;NA;NA;NA;3;2;2;5;6;4;G2-2,F4;11_675;11_675;11_675_2012;11
CHOR11;11;2006;676;411;80.2;98.9;1;1;98;105;NA;NA;NA;3;3;3;5;4;6;F2;11_675;11_676;11_676_2006;11
CHOR11;11;2012;676;411;80.2;98.9;1;1;110;113;NA;NA;NA;3;2;2;5;6;4;;11_676;11_676;11_676_2012;11
CHOR11;11;2006;677;411;80;98.9;1;1;129;123;NA;NA;NA;3;3;3;5;4;6;F2;11_676;11_677;11_677_2006;11
CHOR11;11;2012;677;411;80;98.9;1;1;140;114;NA;NA;NA;3;1;2;5;6;4;;11_677;11_677;11_677_2012;11
CHOR11;11;2006;678;101;80.4;95.1;3;7;288;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;G2;11_677;11_678;11_678_2006;37
CHOR11;11;2012;678;101;80.4;95.1;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_678;11_678;11_678_2012;99
CHOR11;11;2006;679;101;85.3;92.5;1;1;499;500;NA;NA;NA;1;1;1;4;4;6;F1;11_678;11_679;11_679_2006;11
CHOR11;11;2012;679;101;85.3;92.5;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_679;11_679;11_679_2012;44
CHOR11;11;2006;680;101;84.2;99.9;3;7;142;142;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_679;11_680;11_680_2006;37
CHOR11;11;2012;680;101;84.2;99.9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_680;11_680;11_680_2012;99
CHOR11;11;2006;681;101;84.7;98.8;1;1;660;577;NA;NA;NA;1;1;1;4;4;6;F1;11_680;11_681;11_681_2006;11
CHOR11;11;2012;681;101;84.7;98.8;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_681;11_681;11_681_2012;44
CHOR11;11;2006;682;411;89.5;93.3;1;1;112;111;NA;NA;NA;3;3;3;5;4;6;F1;11_681;11_682;11_682_2006;11
CHOR11;11;2012;682;411;89.5;93.3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_682;11_682;11_682_2012;44
CHOR11;11;2006;683;411;89.7;95;1;1;104;100;NA;NA;NA;3;3;3;5;4;6;F1;11_682;11_683;11_683_2006;11
CHOR11;11;2012;683;411;89.7;95;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_683;11_683;11_683_2012;44
CHOR11;11;2006;684;411;92.4;94.2;1;1;100;110;NA;NA;NA;3;3;3;5;4;6;F1;11_683;11_684;11_684_2006;11
CHOR11;11;2012;684;411;92.4;94.2;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_684;11_684;11_684_2012;44
CHOR11;11;2006;685;101;91.1;95.8;3;7;210;270;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_684;11_685;11_685_2006;37
CHOR11;11;2012;685;101;91.1;95.8;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_685;11_685;11_685_2012;99
CHOR11;11;2006;686;101;91.3;99.1;1;1;402;385;NA;NA;NA;1;1;1;4;4;6;G2;11_685;11_686;11_686_2006;11
CHOR11;11;2012;686;101;91.3;99.1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_686;11_686;11_686_2012;44
CHOR11;11;2006;687;101;91.5;94.8;1;1;297;292;NA;NA;NA;1;1;1;4;4;6;F4;11_686;11_687;11_687_2006;11
CHOR11;11;2012;687;101;91.5;94.8;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_687;11_687;11_687_2012;44
CHOR11;11;2006;688;411;93;100;1;1;81;80;NA;NA;NA;3;3;3;5;4;6;F1;11_687;11_688;11_688_2006;11
CHOR11;11;2012;688;411;93;100;1;1;113;110;NA;NA;NA;3;1;2;5;6;4;;11_688;11_688;11_688_2012;11
