f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr;
12;2018;260;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;261;121;1;1;578;639;609;;1;2;1;5;5;6;;;;P2;;;264;
12;2018;262;121;1;1;473;473;473;;1;1;1;4;4;6;;;;;;;261;
12;2018;263;101;1;1;423;424;424;;1;2;2;5;5;6;;;;;;;259;
12;2018;264;101;1;1;297;325;311;;1;2;2;5;5;6;;;;;;;262;
12;2018;265;121;1;1;450;429;440;;1;2;1;5;6;4;;;;;;;269;
12;2018;266;121;1;1;314;300;307;;1;2;2;5;5;5;;;;G51;;;263;
12;2018;267;101;1;1;393;384;389;;1;1;1;4;4;6;;;;;;;266;
12;2018;268;411;1;1;111;128;120;;3;1;1;5;6;4;;;;;;;267;
12;2018;269;411;1;1;120;127;124;;3;1;1;5;6;4;;;;;;;271;
12;2018;270;101;1;1;413;408;411;;1;1;1;4;4;6;;;;;;;268;
12;2018;271;101;1;1;345;352;349;;1;1;2;4;4;6;;;;;;;274;
12;2018;272;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;273;411;1;1;107;109;108;;3;3;3;5;6;4;;;;G23;;;270;
12;2018;274;101;1;1;321;335;328;;1;1;1;4;4;6;;;;;;;273;
12;2018;276;121;9;9;;;0;;;;;;;;;;;;;;;
12;2018;277;411;3;5;;;0;;;;;;;;;;;;;;;
12;2018;278;101;1;1;410;417;414;;1;1;1;4;4;6;;;;;;;271;
12;2018;279;121;9;9;;;0;;;;;;;;;;;;;;;
12;2018;280;411;1;1;134;135;135;;3;1;1;5;6;4;;;;;;;278;
12;2018;281;411;9;9;;;0;;;;;;;;;;;;;;;
12;2018;282;411;1;1;297;328;313;;2;1;2;5;6;4;;;;;;;280;
12;2018;284;101;1;1;547;568;558;;1;1;1;4;4;6;;;;;;;282;
12;2018;285;411;1;1;119;125;122;;3;1;2;5;6;4;;;;F2;;;284;
12;2018;286;411;1;1;129;131;130;;3;1;2;5;6;4;;;;;;;285;
12;2018;287;101;1;1;368;407;388;;1;1;1;4;4;6;;;;;;;286;
12;2018;288;101;1;1;484;453;469;;1;1;1;4;4;6;;;;;;;287;
12;2018;289;101;1;1;403;425;414;;1;3;2;5;4;6;;;;S4;S01;;291;
12;2018;290;101;1;1;264;269;267;;1;3;3;5;5;5;;;;F2;F7;S4;289;
12;2018;291;101;9;7;260;260;260;;;;;;;;;;;;;;288;
12;2018;292;411;1;1;81;79;80;;3;2;3;5;6;4;;;;;;;290;
12;2018;293;101;1;1;315;240;278;;1;1;1;4;4;6;;;;;;;292;
12;2018;294;411;1;1;93;94;94;;3;1;3;5;6;4;;;;A4;;;293;
12;2018;295;121;1;1;535;545;540;;1;1;1;4;4;6;;;;;;;296;
12;2018;296;101;1;1;363;350;357;;1;3;2;5;4;6;;;;H1;;;298;
12;2018;297;101;1;1;525;521;523;;1;1;1;4;4;6;;;;;;;294;
12;2018;298;101;9;7;190;190;190;;;;;;;;;;;;;;297;
12;2018;299;411;1;1;214;242;228;P;2;1;2;5;6;4;23;7.1;19;;;;295;
12;2018;300;411;1;1;74;79;77;P;3;1;2;5;6;4;10.2;2.2;3;;;;299;
12;2018;301;101;1;1;435;444;440;;1;1;1;4;4;6;;;;;;;305;
12;2018;302;101;1;1;364;373;369;;1;1;1;4;4;6;;;;;;;300;
12;2018;303;101;1;1;392;404;398;;1;1;1;4;4;6;;;;;;;302;
12;2018;304;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;305;101;1;1;279;303;291;;1;1;2;4;4;6;;;;;;;303;
12;2018;307;121;9;8;528;545;537;;;;;;;;5.5;;;P3;;;308;
12;2018;308;411;1;1;95;89;92;;3;1;2;5;6;4;;;;;;;301;
12;2018;309;101;9;8;160;172;166;;;;;;;;4.6;;;;;;308;
12;2018;310;101;4;4;;;0;;;;;;;;;;;;;;;
12;2018;311;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;312;121;9;8;292;292;292;;;;;;;;13.3;;;;;;313;
12;2018;313;411;1;1;89;97;93;;3;1;2;5;6;4;;;;;;;309;
12;2018;314;101;1;1;695;568;632;;1;1;1;4;4;6;;;;;;;312;
12;2018;315;101;1;1;533;565;549;;1;1;1;4;4;6;;;;;;;318;
12;2018;316;411;1;1;90;89;90;;3;1;2;5;6;4;;;;;;;314;
12;2018;317;101;9;8;427;421;424;;;;;;;;2.5;;;P3;;;313;
12;2018;318;411;1;1;81;81;81;;3;1;2;5;6;4;;;;;;;319;
12;2018;319;101;1;1;481;455;468;;1;1;1;4;4;6;;;;;;;317;
12;2018;320;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;321;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;322;101;1;1;569;542;556;;1;1;1;4;4;6;;;;;;;315;
12;2018;323;101;1;1;731;665;698;;1;1;1;4;4;6;;;;;;;322;
12;2018;324;411;9;9;;;0;;;;;;;;;;;A3;;;;
12;2018;325;101;1;1;536;530;533;;1;1;1;4;4;6;;;;;;;329;
12;2018;326;101;1;1;386;372;379;;1;1;1;4;4;6;;;;;;;325;
12;2018;327;101;1;1;497;494;496;;1;1;1;4;4;6;;;;;;;323;
12;2018;328;411;3;8;98;93;96;;;;;;;;3.1;;;F4;;;327;
