f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr
2;2018;178;411;1;1;148;142;145;;3;1;1;5;6;4;;;;;;;179
2;2018;179;101;1;1;461;478;470;;1;1;1;4;4;6;;;;;;;172
2;2018;180;411;1;1;108;109;109;;3;1;1;5;6;4;;;;;;;178
2;2018;181;411;1;1;218;213;216;;2;1;1;5;6;4;;;;;;;184
2;2018;182;101;1;1;426;452;439;P;1;1;1;4;4;6;35.5;24.6;38;;;;181
2;2018;183;101;9;9;;;0;;;;;;;;;;;;;;
2;2018;184;411;1;1;128;122;125;;3;1;2;5;6;4;;;;F7;;;185
2;2018;185;121;9;8;613;645;629;;;;;;;;5.4;;;;;;186
2;2018;186;101;1;1;415;435;425;;1;1;1;4;4;6;;;;;;;226
2;2018;188;101;1;1;182;229;206;P;2;1;1;5;5;6;25.8;17.4;16;;;;182
2;2018;189;101;9;9;;;0;;;;;;;;;;;;;;
2;2018;190;101;1;1;393;41;217;;1;1;1;4;4;6;;;;;;;678
2;2018;191;411;1;1;130;160;145;;3;1;1;5;6;4;;;;;;;190
2;2018;192;101;1;1;255;250;253;;3;3;3;5;5;6;;;;;;;194
2;2018;193;101;9;9;;;0;;;;;;;;;;;;;;
2;2018;194;101;1;1;312;292;302;;1;3;2;5;4;6;;;;F2;;;182
2;2018;195;121;1;1;697;754;726;;1;1;1;4;4;6;;;;;;;191
2;2018;196;121;1;1;486;464;475;;1;3;2;5;4;6;;;;F4;;;195
2;2018;197;121;1;1;534;595;565;;1;3;2;5;4;6;;;;F4;;;196
2;2018;198;121;1;1;445;432;439;;1;1;1;4;4;6;;;;;;;197
2;2018;199;101;1;1;467;489;478;;1;1;1;4;4;6;;;;;;;198
2;2018;201;121;1;1;486;535;511;;1;1;1;4;4;6;;;;;;;199
2;2018;203;411;1;1;140;142;141;;3;1;2;5;6;4;;;;F2;;;217
2;2018;204;101;1;1;416;461;439;;1;1;2;4;4;6;;;;;;;203
2;2018;206;121;1;1;591;582;587;;1;2;2;5;5;5;;;;F7;;;208
2;2018;207;101;1;1;482;508;495;;1;1;1;4;4;6;;;;S01;S4;;204
2;2018;208;101;1;1;391;374;383;;1;1;1;4;4;6;;;;;;;77
2;2018;209;101;1;1;507;488;498;;1;1;1;4;4;6;;;;;;;207
2;2018;210;101;9;6;238;239;239;;;;;;;;;;;;;;209
2;2018;211;101;1;1;378;366;372;;1;1;1;4;4;6;;;;;;;210
2;2018;212;101;9;9;;;0;;;;;;;;;;;;;;
2;2018;213;411;1;1;161;148;155;;3;1;2;5;6;4;;;;;;;211
2;2018;214;101;1;1;378;374;376;;1;2;1;4;4;6;;;;S4;;;213
2;2018;216;411;1;1;162;159;161;;3;1;1;5;6;4;;;;;;;214
2;2018;217;101;1;1;660;678;669;;1;2;1;5;5;6;;;;H1;;;219
2;2018;219;411;1;1;160;178;169;;3;1;1;5;6;4;;;;;;;224
2;2018;220;101;1;1;346;237;292;;1;1;2;4;4;6;;;;;;;221
2;2018;221;411;1;1;148;151;150;;3;1;1;5;6;4;;;;;;;220
2;2018;222;411;9;9;;;0;;;;;;;;;;;;;;
2;2018;224;411;1;1;131;130;131;;3;1;2;5;4;6;;;;;;;221
2;2018;225;101;3;5;600;610;605;;;;;;;;;;;;;;
2;2018;226;411;1;1;199;208;204;;2;1;1;5;6;4;;;;;;;227
2;2018;227;101;1;1;511;499;505;;1;1;1;4;4;6;;;;;;;692
2;2018;228;101;1;1;346;340;343;;1;2;2;5;5;5;;;;;;;181
2;2018;229;101;1;1;151;121;136;;3;1;1;5;6;4;;;;;;;233
2;2018;230;411;1;1;122;136;129;;3;3;3;5;6;4;;;;F2;;;180
2;2018;231;121;1;1;720;724;722;;1;1;1;4;4;6;;;;;;;233
2;2018;232;411;1;1;130;125;128;;3;1;2;5;6;4;;;;;;;180
2;2018;233;101;1;1;290;321;306;;1;1;1;4;4;6;;;;;;;232
2;2018;234;411;1;1;157;159;158;;2;1;1;5;6;4;;;;F4;;;229
2;2018;235;411;1;1;82;73;78;;3;1;3;5;6;4;;;;F4;;;234
2;2018;236;101;1;1;562;573;568;;1;1;1;4;4;6;;;;;;;235
2;2018;237;101;1;1;353;370;362;;1;1;2;4;4;6;;;;;;;238
2;2018;238;101;1;1;496;511;504;;1;1;1;4;4;6;;;;;;;239
2;2018;239;411;1;1;172;171;172;;2;1;2;5;6;4;;;;;;;241
2;2018;240;101;9;5;360;352;356;;;;;;;;;;;P3;;;
2;2018;241;101;1;1;422;438;430;;1;1;1;4;4;6;;;;;;;171
2;2018;243;101;3;8;458;484;471;;;;;;;;2;;;;;;244
2;2018;244;101;1;1;299;274;287;;1;3;3;5;6;6;;;;F2;S4;SO;245
2;2018;245;101;1;1;449;473;461;;1;1;1;4;4;6;;;;;;;301
2;2018;246;411;1;1;217;209;213;;2;1;2;5;6;4;;;;;;;247
2;2018;247;101;1;1;337;344;341;;1;3;3;5;5;5;;;;G21;;;251
2;2018;248;101;1;1;650;638;644;;1;1;1;4;4;6;;;;;;;246
2;2018;249;411;9;8;165;173;169;;;;;;;;3.1;;;;;;250
2;2018;250;101;9;8;343;349;346;;;;;;;;6.1;;;P3;;;252
2;2018;251;101;1;1;306;308;307;;1;3;3;5;5;6;;;;G22;;;259
2;2018;252;101;1;1;386;377;382;;1;1;2;4;4;6;;;;;;;251
2;2018;253;441;9;9;;;0;;;;;;;;;;;;;;
2;2018;254;101;1;1;588;592;590;;1;1;1;4;4;6;;;;;;;298
2;2018;255;411;1;1;246;273;260;;2;1;2;5;6;4;;;;F7;;;254
2;2018;256;101;9;5;151;157;154;;;;;;;;;;;A1;;;255
2;2018;258;101;1;1;688;653;671;;1;1;1;4;4;6;;;;;;;256
2;2018;259;411;1;1;232;231;232;;2;1;1;5;6;4;;;;;;;258
2;2018;260;411;1;1;172;164;168;;2;1;2;5;6;4;;;;;;;260
2;2018;264;101;3;5;615;423;519;;;;;;;;;;;A1;;;
2;2018;265;101;9;8;257;245;251;;;;;;;;3.9;;;;;;139
2;2018;266;101;3;5;480;474;477;;;;;;;;;;;A1;;;
2;2018;267;101;9;5;452;420;436;;;;;;;;;;;;;;
2;2018;268;101;3;5;530;482;506;;;;;;;;;;;;;;
2;2018;269;101;1;1;341;340;341;;1;2;2;5;6;4;;;;G51;;;265
2;2018;270;101;1;1;418;419;419;;1;1;1;4;4;6;;;;;;;269
2;2018;271;101;3;8;538;520;529;;;;;;;;25.1;;;;;;681
2;2018;274;101;3;5;420;425;423;;;;;;;;;;;;;;
2;2018;275;411;1;1;195;193;194;;2;1;2;5;6;4;;;;;;;689
2;2018;276;101;4;4;;;0;;;;;;;;;;;;;;
2;2018;277;101;3;5;680;700;690;;;;;;;;;;;;;;
2;2018;279;101;1;1;393;380;387;;1;1;1;4;4;6;;;;;;;275
2;2018;280;101;1;1;378;382;380;;1;1;1;4;4;6;;;;;;;279
2;2018;281;101;1;1;445;444;445;;1;1;1;4;4;6;;;;;;;283
2;2018;282;411;1;1;123;125;124;;3;1;2;5;6;4;;;;F2;;;402
2;2018;283;411;1;1;157;132;145;;3;1;3;5;6;4;;;;F2;G22;;282
2;2018;284;411;1;1;169;170;170;;3;1;3;5;6;4;;;;G22;;;286
2;2018;285;101;9;6;331;330;331;;;;;;;;;;;;;;284
2;2018;286;101;3;8;475;520;498;;;;;;;;2.9;;;;;;383
2;2018;287;101;9;9;;;0;;;;;;;;;;;;;;
2;2018;288;101;9;9;;;0;;;;;;;;;;;;;;
2;2018;289;101;3;5;388;382;385;;;;;;;;;;;A1;;;
2;2018;290;101;3;5;;;;;;;;;;;;;;A3;;;
2;2018;291;101;1;1;382;405;394;;1;1;1;4;4;6;;;;S02;;;294
2;2018;292;101;3;5;620;615;618;;;;;;;;;;;A1;;;
2;2018;293;411;1;1;120;122;121;;3;1;2;5;6;4;;;;;;;285
2;2018;294;101;1;1;325;332;329;;1;1;1;4;4;6;;;;S01;;;291
2;2018;295;121;3;8;446;454;450;;;;;;;;3.6;;;A1;;;
2;2018;296;101;1;1;569;561;565;;1;1;1;4;4;6;;;;;;;295
2;2018;297;411;1;1;160;162;161;;2;1;2;5;6;4;;;;;;;296
2;2018;298;101;1;1;478;475;477;;1;1;1;4;4;6;;;;;;;297
2;2018;300;101;3;5;590;605;598;;;;;;;;;;;;;;
2;2018;301;101;1;1;359;337;348;;1;1;1;4;4;6;;;;;;;249
2;2018;302;101;9;7;407;439;423;;;;;;;;;;;;;;301
2;2018;303;411;1;1;235;251;243;P;2;1;1;5;6;5;26.6;9;20;;;;368
2;2018;307;101;1;1;536;558;547;;1;1;1;4;4;6;;;;;;;308
2;2018;308;101;9;8;300;301;301;;;;;;;;6.7;;;A1;;;312
2;2018;309;101;3;7;250;262;256;;;;;;;;;;;P94;;;236
2;2018;310;101;1;1;414;403;409;;1;1;1;4;4;6;;;;;;;309
2;2018;311;101;1;1;428;429;429;;1;1;1;4;4;6;;;;;;;310
2;2018;312;101;1;1;422;422;422;;1;1;1;4;4;6;;;;;;;311
2;2018;313;101;1;1;343;355;349;;2;3;3;5;6;6;;;;F54;F2;;360
2;2018;314;101;9;8;331;323;327;;;;;;;;2.6;;;;;;313
2;2018;315;101;1;1;490;491;491;;1;1;1;4;4;6;;;;;;;312
2;2018;316;101;1;1;574;569;572;;1;1;1;4;4;6;;;;;;;315
2;2018;317;101;1;1;501;506;504;;1;1;1;4;4;6;;;;;;;314
2;2018;318;101;3;8;310;329;320;;;;;;;;17.5;;;P3;A1;;316
2;2018;320;101;4;4;;;0;;;;;;;;;;;;;;
2;2018;321;411;9;9;;;0;;;;;;;;;;;;;;
2;2018;322;101;9;9;;;0;;;;;;;;;;;;;;
2;2018;324;411;1;1;120;127;124;;3;1;1;5;6;4;;;;;;;329
2;2018;325;411;1;1;169;180;175;;2;1;2;5;6;4;;;;;;;324
2;2018;326;411;1;1;162;179;171;;2;1;2;5;6;4;;;;;;;325
2;2018;327;101;1;1;520;533;527;;1;1;1;4;4;6;;;;;;;326
2;2018;328;411;1;1;149;156;153;;2;1;2;5;6;4;;;;F4;;;345
2;2018;329;411;3;8;95;92;94;;;;;;;;2.5;;;F4;;;328
2;2018;330;411;1;1;170;168;169;;2;1;2;5;6;4;;;;F4;;;327
2;2018;331;411;1;1;133;135;134;;3;1;3;5;6;4;;;;F2;F22;;330
2;2018;332;101;1;1;555;552;554;;1;1;1;4;4;6;;;;;;;331
2;2018;333;411;1;1;94;94;94;;3;1;1;5;6;4;;;;;;;334
2;2018;334;411;1;1;136;130;133;;3;2;3;5;6;4;;;;G62;;;318
2;2018;335;121;1;1;745;712;729;;1;1;1;4;4;6;;;;;;;336
2;2018;336;101;1;1;459;466;463;;1;1;1;4;4;6;;;;;;;333
2;2018;337;411;1;1;86;86;86;;3;1;2;5;6;4;;;;;;;335
2;2018;338;411;1;1;223;215;219;;2;2;3;5;6;4;;;;F2;;;337
2;2018;339;101;1;1;304;310;307;;1;1;2;4;4;6;;;;;;;339
2;2018;340;411;1;1;174;159;167;;2;3;2;5;6;4;;;;F7;G12;;345
2;2018;342;101;3;5;;;0;;;;;;;;;;;A3;;;
2;2018;343;101;3;5;395;356;376;;;;;;;;;;;;;;
2;2018;344;101;1;1;446;502;474;;1;1;1;4;4;6;;;;;;;339
2;2018;345;411;1;1;109;104;107;;3;1;2;5;6;4;;;;G22;;;344
2;2018;346;101;1;1;652;705;679;;1;1;1;4;4;6;;;;;;;340
2;2018;347;411;1;1;207;199;203;;2;2;2;5;6;4;;;;F2;G51;;347
2;2018;348;101;9;9;;;0;;;;;;;;;;;;;;
2;2018;349;121;1;1;132;125;129;;3;1;1;5;6;4;;;;;;;354
2;2018;350;101;1;1;536;505;521;;1;1;1;4;4;6;;;;;;;349
2;2018;351;101;1;1;334;333;334;;1;1;2;4;4;6;;;;;;;350
2;2018;352;101;1;1;567;553;560;;1;1;1;4;4;6;;;;S02;;;348
2;2018;353;101;9;9;;;0;;;;;;;;;;;;;;
2;2018;354;101;1;1;480;469;475;;1;1;1;4;4;6;;;;S02;;;352
2;2018;355;411;1;1;128;127;128;;3;1;2;5;6;4;;;;;;;351
2;2018;356;411;1;1;109;115;112;;3;1;2;5;6;4;;;;;;;355
2;2018;357;411;1;1;183;165;174;;3;2;2;5;6;4;;;;G22;;;356
2;2018;358;101;1;1;589;586;588;;1;1;1;4;4;6;;;;;;;357
2;2018;359;101;1;5;353;345;349;;1;3;3;6;5;6;;;;F55;S03;S4;358
2;2018;360;101;1;1;635;663;649;;1;3;1;4;4;6;;;;F3;;;307
2;2018;361;411;1;1;130;135;133;;3;1;1;5;6;4;;;;;;;359
2;2018;362;101;1;1;636;637;637;;1;1;1;4;4;6;;;;;;;361
2;2018;363;411;1;1;115;117;116;;3;1;2;5;6;4;;;;;;;362
2;2018;366;101;9;9;;;0;;;;;;;;;;;;;;
2;2018;367;101;3;5;;;0;;;;;;;;;;;A3;;;
2;2018;368;101;3;8;551;556;554;;;;;;;;15.3;;;F51;;;367
2;2018;369;411;1;1;175;179;177;;2;1;2;5;6;4;;;;F2;;;374
