f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr;;;
1;2018;660;411;1;1;235;256;246;;3;1;1;5;6;4;;;;;;;535;;;
1;2018;662;411;1;1;245;239;242;P;2;1;2;5;6;4;17.3;6.1;22;;;;659;;;
1;2018;663;101;1;1;433;442;438;;1;1;1;4;4;6;;;;;;;662;;;
1;2018;664;411;1;1;106;98;102;;3;1;3;5;6;4;;;;;;;672;;;
1;2018;666;411;1;1;196;194;195;;3;2;2;5;6;4;;;;F4;S52;;252;;;"k';l';"
1;2018;669;411;1;1;229;213;221;;3;1;2;5;6;4;;;;;;;354;;;
1;2018;671;411;1;1;130;121;126;;3;2;2;5;6;4;;;;G22;F4;;695;;;
1;2018;672;411;1;1;109;112;111;;3;1;2;5;6;4;;;;;;;69;;;
1;2018;673;411;1;1;288;278;283;;3;1;1;5;6;4;;;;;;;656;;;
1;2018;674;411;1;1;145;141;143;;3;1;2;5;6;4;;;;;;;696;;;
1;2018;675;534;1;1;77;72;75;;3;2;2;5;6;4;;;;;;;128;;;
1;2018;677;411;1;1;91;86;89;P;3;2;1;5;6;4;7.2;2.9;1;;;;56;;;
1;2018;680;411;1;1;85;83;84;;3;1;2;5;6;4;;;;F4;F7;;331;;;
1;2018;682;411;1;1;84;81;83;;3;1;2;5;6;4;;;;;;;381;;;
1;2018;683;441;1;1;90;86;88;;3;1;1;5;6;4;;;;;;;671;;;
1;2018;684;411;1;1;74;72;73;;3;1;2;5;6;4;;;;;;;683;;;
1;2018;685;411;3;8;128;131;130;;;;;;;;5.1;;;F4;;;666;;;
1;2018;686;411;1;1;172;169;171;;3;1;1;5;6;4;;;;;;;140;;;
1;2018;687;411;1;1;65;63;64;;3;1;3;5;6;4;;;;;;;274;;;
1;2018;688;411;1;1;92;84;88;;3;1;1;5;6;4;;;;;;;687;;;
1;2018;689;411;1;1;95;115;105;;3;1;2;5;6;4;;;;;;;271;;;
1;2018;690;411;1;1;75;79;77;;3;1;2;5;6;4;;;;;;;539;;;
1;2018;691;441;1;1;76;81;79;;3;1;2;5;6;4;;;;;;;690;;;
1;2018;692;411;1;1;106;99;103;;3;1;3;5;6;4;;;;;;;516;;;
1;2018;693;411;1;1;90;93;92;;3;1;3;5;6;4;;;;;;;692;;;
1;2018;694;411;1;1;115;87;101;;3;1;2;5;6;3;;;;F7;;;693;;;
1;2018;695;411;1;1;138;132;135;;3;1;2;5;6;4;;;;;;;694;;;
1;2018;696;411;1;1;78;81;80;;3;1;2;5;6;4;;;;;;;501;;;
1;2018;697;411;1;1;85;91;88;;3;1;1;5;6;4;;;;;;;589;;;
1;2018;698;411;1;1;97;95;96;;3;1;2;5;6;4;;;;;;;586;;;
